Marca temporal,¿Cuántos años tenés?,,¿Cuál es tu género?,Me siento calmado,Me siento seguro,Estoy tenso,Estoy contrariado (malhumorado o disgustado),Me siento cómodo (estoy a gusto),Estoy preocupado ahora por posibles desgracias futuras,Me siento descansado,Me siento angustiado,Me siento confortable,Tengo confianza en mi mismo,Me siento nervioso,Estoy desasosegado (agitado e inquieto),Me siento muy “atado” (como oprimido),Estoy relajado,Me siento satisfecho,Estoy preocupado,Me siento aturdido y sobreexcitado,Me siento alegre,En este momento me siento bien
8/07/2021 14:51:32,Entre 15 y 18,,Hombre,Bastante (2),Mucho (3),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Un poco (1),Bastante (2)
8/07/2021 14:51:33,Entre 10 y 14,,Hombre,Bastante (2),Mucho (3),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Nada (0),Bastante (2),Un poco (1),Nada (0),Mucho (3),Mucho (3),Mucho (3),Nada (0),Nada (0),Mucho (3),Bastante (2),Un poco (1),Nada (0)
8/07/2021 14:51:35,Entre 10 y 14,,Mujer,Mucho (3),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Bastante (2),Mucho (3),Un poco (1),Un poco (1),Mucho (3),Mucho (3)
8/07/2021 14:51:43,Entre 10 y 14,,Mujer,Mucho (3),Mucho (3),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Nada (0),Bastante (2),Mucho (3),Bastante (2),Nada (0),Un poco (1),Nada (0),Mucho (3),Mucho (3),Un poco (1),Un poco (1),Mucho (3),Mucho (3)
8/07/2021 14:52:05,Más de 40,,No binario,Nada (0),Nada (0),Mucho (3),Mucho (3),Nada (0),Mucho (3),Nada (0),Mucho (3),Nada (0),Nada (0),Mucho (3),Mucho (3),Mucho (3),Nada (0),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0)
8/07/2021 14:52:24,Entre 10 y 14,,Hombre,Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
8/07/2021 14:52:41,Entre 10 y 14,,Hombre,Un poco (1),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Nada (0),Nada (0),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Mucho (3)
8/07/2021 14:52:43,Entre 10 y 14,,Mujer,Un poco (1),Mucho (3),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Mucho (3)
8/07/2021 14:52:46,Entre 10 y 14,,Hombre,Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Un poco (1),Bastante (2),Nada (0),Bastante (2),Mucho (3),Nada (0),Un poco (1),Nada (0),Bastante (2),Mucho (3),Un poco (1),Nada (0),Mucho (3),Bastante (2)
8/07/2021 14:52:48,Entre 10 y 14,,Hombre,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Bastante (2),Bastante (2)
8/07/2021 14:52:53,Entre 10 y 14,,Hombre,Bastante (2),Bastante (2),Nada (0),Un poco (1),Mucho (3),Un poco (1),Mucho (3),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Mucho (3),Bastante (2)
8/07/2021 14:52:54,Entre 15 y 18,,Mujer,Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Mucho (3),Nada (0),Un poco (1),Nada (0),Un poco (1),Bastante (2),Nada (0),Nada (0),Un poco (1),Mucho (3)
8/07/2021 14:53:07,Entre 10 y 14,,Mujer,Bastante (2),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2),Nada (0),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Mucho (3)
8/07/2021 14:53:18,Entre 10 y 14,,Hombre,Mucho (3),Bastante (2),Nada (0),Nada (0),Bastante (2),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Bastante (2),Mucho (3)
8/07/2021 14:53:20,Entre 10 y 14,,Hombre,Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1)
8/07/2021 14:53:21,Entre 10 y 14,,Hombre,Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
8/07/2021 14:53:35,Entre 10 y 14,,Hombre,Nada (0),Un poco (1),Un poco (1),Bastante (2),Nada (0),Mucho (3),Nada (0),Bastante (2),Nada (0),Nada (0),Mucho (3),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1)
8/07/2021 14:53:49,Entre 10 y 14,,Hombre,Bastante (2),Mucho (3),Un poco (1),Nada (0),Bastante (2),Un poco (1),Bastante (2),Nada (0),Bastante (2),Nada (0),Nada (0),Nada (0),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Mucho (3),Bastante (2)
8/07/2021 14:53:59,Entre 10 y 14,,Hombre,Mucho (3),Mucho (3),Un poco (1),Un poco (1),Mucho (3),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Bastante (2),Mucho (3)
8/07/2021 14:54:05,Entre 10 y 14,,No binario,Bastante (2),Bastante (2),Un poco (1),Nada (0),Mucho (3),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1)
8/07/2021 14:54:07,Entre 10 y 14,,Mujer,Mucho (3),Mucho (3),Un poco (1),Nada (0),Bastante (2),Nada (0),Un poco (1),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Bastante (2),Bastante (2)
8/07/2021 14:55:15,Entre 10 y 14,,Hombre,Bastante (2),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Bastante (2),Nada (0),Nada (0),Mucho (3),Mucho (3),Nada (0),Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Mucho (3)
8/07/2021 14:55:38,Entre 10 y 14,,Hombre,Mucho (3),Un poco (1),Nada (0),Nada (0),Bastante (2),Nada (0),Mucho (3),Nada (0),Bastante (2),Mucho (3),Nada (0),Un poco (1),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Nada (0),Mucho (3),Mucho (3)
8/07/2021 14:55:49,Entre 10 y 14,,Hombre,Bastante (2),Bastante (2),Nada (0),Un poco (1),Bastante (2),Nada (0),Bastante (2),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Mucho (3),Bastante (2)
8/07/2021 14:55:55,Entre 10 y 14,,Hombre,Bastante (2),Mucho (3),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Mucho (3)
8/07/2021 14:55:57,Entre 10 y 14,,Hombre,Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Nada (0),Un poco (1),Nada (0),Bastante (2),Un poco (1),Nada (0),Nada (0),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Un poco (1),Bastante (2)
8/07/2021 14:57:33,Entre 10 y 14,,Hombre,Bastante (2),Mucho (3),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2),Nada (0),Nada (0),Nada (0),Un poco (1),Bastante (2),Nada (0),Nada (0),Bastante (2),Mucho (3)
8/07/2021 14:57:53,Entre 10 y 14,,Hombre,Un poco (1),Un poco (1),Nada (0),Nada (0),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Nada (0)
8/07/2021 14:58:02,Entre 10 y 14,,Mujer,Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Mucho (3),Bastante (2),Nada (0),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
8/07/2021 14:58:05,Entre 10 y 14,,Hombre,Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Mucho (3),Un poco (1),Nada (0),Nada (0),Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
8/07/2021 14:58:57,Entre 10 y 14,,Mujer,Nada (0),Mucho (3),Un poco (1),Mucho (3),Un poco (1),Nada (0),Mucho (3),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Nada (0),Mucho (3),Nada (0),Un poco (1),Nada (0),Mucho (3),Mucho (3)
8/07/2021 15:01:53,Entre 10 y 14,,Hombre,Un poco (1),Mucho (3),Mucho (3),Bastante (2),Mucho (3),Nada (0),Bastante (2),Mucho (3),Un poco (1),Bastante (2),Nada (0),Un poco (1),Nada (0),Nada (0),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1)
8/07/2021 15:02:38,Entre 15 y 18,,Mujer,Nada (0),Nada (0),Mucho (3),Bastante (2),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Nada (0),Nada (0),Mucho (3),Un poco (1),Nada (0),Nada (0),Un poco (1),Mucho (3),Un poco (1),Nada (0),Un poco (1)
8/07/2021 15:03:34,Entre 15 y 18,,Mujer,Nada (0),Nada (0),Bastante (2),Mucho (3),Un poco (1),Mucho (3),Nada (0),Bastante (2),Nada (0),Nada (0),Mucho (3),Bastante (2),Mucho (3),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1)
8/07/2021 15:04:06,Entre 10 y 14,,Hombre,Bastante (2),Mucho (3),Un poco (1),Nada (0),Bastante (2),Nada (0),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Bastante (2),Bastante (2)
8/07/2021 15:05:32,Menos de 10,,Venezolano,Nada (0),Nada (0),Mucho (3),Mucho (3),Nada (0),Mucho (3),Nada (0),Mucho (3),Nada (0),Nada (0),Mucho (3),Mucho (3),Mucho (3),Nada (0),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0)
8/07/2021 15:06:45,Entre 10 y 14,,Mujer,Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Bastante (2),Bastante (2)
8/07/2021 15:07:23,Entre 10 y 14,,Hombre,Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Mucho (3),Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Mucho (3),Un poco (1),Nada (0),Bastante (2),Bastante (2)
8/07/2021 15:08:21,Entre 15 y 18,,Hombre,Mucho (3),Un poco (1),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Mucho (3),Nada (0),Un poco (1),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Mucho (3),Mucho (3)
8/07/2021 15:08:30,Entre 10 y 14,,Mujer,Un poco (1),Nada (0),Mucho (3),Nada (0),Bastante (2),Bastante (2),Nada (0),Un poco (1),Nada (0),Un poco (1),Nada (0),Nada (0),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Nada (0),Bastante (2),Un poco (1)
8/07/2021 15:11:45,Entre 10 y 14,,Mujer,Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Mucho (3)
8/07/2021 15:19:45,Entre 10 y 14,,Mujer,Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Nada (0),Mucho (3),Nada (0),Bastante (2),Bastante (2),Nada (0),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Mucho (3)
8/07/2021 15:20:22,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Mucho (3),Un poco (1),Bastante (2),Bastante (2)
8/07/2021 15:22:12,Entre 26 y 40,,Hombre,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Nada (0),Nada (0),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
8/07/2021 15:24:13,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Nada (0),Bastante (2),Mucho (3),Un poco (1),Un poco (1),Bastante (2),Mucho (3),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2)
8/07/2021 15:25:53,Entre 10 y 14,,Hombre,Bastante (2),Mucho (3),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Bastante (2)
8/07/2021 15:26:09,Entre 10 y 14,,Mujer,Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Nada (0),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Bastante (2)
8/07/2021 15:32:42,Entre 10 y 14,,Hombre,Mucho (3),Mucho (3),Nada (0),Nada (0),Bastante (2),Un poco (1),Bastante (2),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Mucho (3),Mucho (3)
8/07/2021 15:35:10,Entre 10 y 14,,Hombre,Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1)
8/07/2021 15:46:32,Entre 10 y 14,,Mujer,Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0)
8/07/2021 15:50:10,Entre 10 y 14,,Mujer,Nada (0),Nada (0),Mucho (3),Bastante (2),Nada (0),Mucho (3),Nada (0),Mucho (3),Un poco (1),Nada (0),Bastante (2),Mucho (3),Mucho (3),Un poco (1),Nada (0),Mucho (3),Nada (0),Nada (0),Nada (0)
8/07/2021 15:59:23,Entre 15 y 18,,Hombre,Bastante (2),Un poco (1),Nada (0),Nada (0),Mucho (3),Un poco (1),Mucho (3),Bastante (2),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Mucho (3)
8/07/2021 16:06:13,Entre 10 y 14,,Hombre,Bastante (2),Un poco (1),Bastante (2),Nada (0),Bastante (2),Un poco (1),Mucho (3),Nada (0),Bastante (2),Mucho (3),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Nada (0),Nada (0),Bastante (2),Bastante (2)
8/07/2021 16:22:03,Entre 19 y 25,,Hombre,Nada (0),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Nada (0),Mucho (3),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Nada (0),Bastante (2),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1)
8/07/2021 16:24:58,Entre 15 y 18,,Hombre,Mucho (3),Bastante (2),Un poco (1),Nada (0),Mucho (3),Un poco (1),Un poco (1),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Bastante (2),Bastante (2)
8/07/2021 16:29:13,Más de 40,,Hombre,Bastante (2),Mucho (3),Nada (0),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
8/07/2021 16:32:59,Entre 10 y 14,,Hombre,Bastante (2),Bastante (2),Nada (0),Nada (0),Mucho (3),Nada (0),Un poco (1),Nada (0),Nada (0),Mucho (3),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Mucho (3),Mucho (3)
8/07/2021 16:43:45,Entre 19 y 25,,Mujer,Un poco (1),Mucho (3),Nada (0),Nada (0),Bastante (2),Nada (0),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Mucho (3)
8/07/2021 16:43:47,Entre 10 y 14,,Hombre,Bastante (2),Un poco (1),Bastante (2),Nada (0),Mucho (3),Nada (0),Mucho (3),Nada (0),Mucho (3),Bastante (2),Un poco (1),Nada (0),Nada (0),Mucho (3),Mucho (3),Un poco (1),Nada (0),Mucho (3),Mucho (3)
8/07/2021 16:46:43,Entre 15 y 18,,Hombre,Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1),Bastante (2),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Nada (0),Un poco (1),Bastante (2),Nada (0),Nada (0),Bastante (2),Mucho (3)
8/07/2021 16:50:18,Entre 10 y 14,,Mujer,Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2)
8/07/2021 16:53:09,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Nada (0),Nada (0),Un poco (1),Nada (0),Nada (0),Nada (0),Bastante (2),Un poco (1),Nada (0),Nada (0),Nada (0),Bastante (2),Un poco (1),Nada (0),Nada (0),Un poco (1),Bastante (2)
8/07/2021 16:54:38,Más de 40,,Hombre,Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Nada (0),Bastante (2),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
8/07/2021 17:19:32,Entre 15 y 18,,Mujer,Bastante (2),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Mucho (3),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Bastante (2),Un poco (1)
8/07/2021 17:25:01,Entre 10 y 14,,Hombre,Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
8/07/2021 17:31:52,Entre 15 y 18,,Hombre,Bastante (2),Mucho (3),Un poco (1),Nada (0),Bastante (2),Un poco (1),Mucho (3),Nada (0),Mucho (3),Mucho (3),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
8/07/2021 17:50:51,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Mucho (3),Nada (0),Un poco (1),Bastante (2),Un poco (1),Mucho (3),Nada (0),Un poco (1),Bastante (2),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Bastante (2)
8/07/2021 17:51:12,Entre 15 y 18,,Hombre,Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2)
8/07/2021 17:51:21,Entre 15 y 18,,Hombre,Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2)
8/07/2021 17:58:40,Entre 10 y 14,,Mujer,Mucho (3),Mucho (3),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Mucho (3)
8/07/2021 17:59:03,Más de 40,,Mujer,Bastante (2),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Nada (0),Un poco (1),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2)
8/07/2021 17:59:59,Entre 10 y 14,,Hombre,Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Mucho (3),Bastante (2),Un poco (1),Nada (0),Mucho (3),Bastante (2)
8/07/2021 19:10:17,Entre 10 y 14,,Mujer,Un poco (1),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Bastante (2),Bastante (2),Nada (0),Un poco (1),Nada (0),Nada (0),Un poco (1),Nada (0),Un poco (1),Nada (0),Bastante (2),Un poco (1),Bastante (2),Un poco (1)
8/07/2021 19:21:19,Entre 10 y 14,,Mujer,Un poco (1),Bastante (2),Nada (0),Nada (0),Mucho (3),Nada (0),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Mucho (3),Mucho (3)
8/07/2021 20:07:23,Entre 10 y 14,,Hombre,Bastante (2),Mucho (3),Un poco (1),Nada (0),Mucho (3),Nada (0),Nada (0),Nada (0),Un poco (1),Mucho (3),Nada (0),Un poco (1),Nada (0),Un poco (1),Mucho (3),Nada (0),Nada (0),Mucho (3),Mucho (3)
8/07/2021 20:22:05,Más de 40,,Mujer,Un poco (1),Nada (0),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2)
8/07/2021 20:29:04,Entre 10 y 14,,Hombre,Bastante (2),Bastante (2),Nada (0),Nada (0),Mucho (3),Un poco (1),Mucho (3),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Bastante (2),Mucho (3)
8/07/2021 20:56:51,Entre 10 y 14,,Hombre,Mucho (3),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Nada (0),Mucho (3),Bastante (2),Un poco (1),Nada (0),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Bastante (2),Mucho (3)
8/07/2021 21:00:29,Entre 15 y 18,,Hombre,Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Mucho (3),Nada (0),Mucho (3),Un poco (1),Nada (0),Nada (0),Nada (0),Nada (0),Bastante (2),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1)
8/07/2021 21:08:59,Entre 15 y 18,,Mujer,Un poco (1),Bastante (2),Mucho (3),Bastante (2),Un poco (1),Mucho (3),Mucho (3),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Un poco (1),Bastante (2),Mucho (3),Bastante (2),Bastante (2)
8/07/2021 22:12:11,Entre 10 y 14,,Mujer,Bastante (2),Bastante (2),Nada (0),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1)
8/07/2021 22:14:46,Entre 10 y 14,,Hombre,Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2)
8/07/2021 22:34:23,Entre 15 y 18,,Mujer,Bastante (2),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1)
8/07/2021 22:51:42,Entre 15 y 18,,Hombre,Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Nada (0),Un poco (1),Un poco (1)
9/07/2021 1:02:02,Entre 15 y 18,,Mujer,Nada (0),Un poco (1),Bastante (2),Mucho (3),Nada (0),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Nada (0),Nada (0),Un poco (1),Un poco (1),Nada (0),Nada (0)
9/07/2021 2:21:16,Entre 15 y 18,,Mujer,Un poco (1),Nada (0),Bastante (2),Mucho (3),Un poco (1),Mucho (3),Nada (0),Bastante (2),Bastante (2),Bastante (2),Mucho (3),Un poco (1),Nada (0),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Bastante (2)
9/07/2021 2:55:20,Entre 26 y 40,,Hombre,Un poco (1),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Bastante (2),Nada (0),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2)
